Player,Comp,Age,Min,Gls,Ast,Pos,Tkl,Int,Clr,Blocks,Succ,Carries,KP,xG,xAG,Club
Benjamin André,fr Ligue 1,33.0,2692,0,3,MF,103,48,56,31,9,1153,21,1.4,1.9,
Marcos André,es La Liga,27.0,1188,1,2,FW,10,3,10,5,17,195,9,2.7,0.8,
Robert Andrich,de Bundesliga,29.0,1598,2,2,"MF,DF",24,29,23,6,2,526,9,1.3,0.3,
Angeliño,it Serie A,27.0,3177,2,1,DF,46,28,98,25,11,1202,50,1.4,3.7,
Lorenzo Anghelè,it Serie A,19.0,6,0,0,FW,0,0,0,0,1,3,0,0.0,0.0,
Faustino Anjorin,it Serie A,22.0,1114,2,3,MF,29,13,20,8,16,327,17,0.9,1.7,
Waldemar Anton,de Bundesliga,28.0,1949,2,2,DF,34,30,112,18,20,1386,6,1.7,0.8,
Leandro Antonetti,es La Liga,21.0,28,0,0,FW,0,0,0,1,0,5,1,0.1,0.0,
Kyllian Antonio,fr Ligue 1,16.0,139,0,0,"DF,MF",3,3,3,4,1,82,0,0.1,0.0,
Michail Antonio,eng Premier League,34.0,836,1,1,FW,2,0,2,14,9,173,9,2.2,1.6,
Antoniu,es La Liga,21.0,1022,0,1,"FW,MF",21,8,11,15,29,215,7,0.9,1.1,
Antony,eng Premier League,24.0,141,0,0,"DF,MF",6,2,0,1,4,60,3,1.0,0.1,
Antony,es La Liga,24.0,1362,5,2,FW,25,10,9,18,24,663,36,2.9,3.5,
Anuar,es La Liga,29.0,1720,2,0,"MF,FW",38,18,26,6,7,359,7,1.7,1.2,
Dennis Appiah,fr Ligue 1,32.0,2128,0,1,DF,71,29,89,43,20,630,13,0.2,2.1,
Aritz Arambarri,es La Liga,26.0,177,0,0,DF,1,3,8,1,0,44,0,0.0,0.0,
Mauro Arambarri,es La Liga,28.0,2661,10,0,MF,48,15,46,14,18,534,17,8.2,0.6,
Jon Aramburu,es La Liga,22.0,2460,1,1,DF,102,30,98,37,8,847,15,0.4,1.1,
Julian Araujo,eng Premier League,22.0,497,0,0,DF,10,6,18,2,0,126,1,0.0,0.1,
Ronald Araújo,es La Liga,25.0,754,1,1,DF,12,9,25,0,0,515,4,1.0,0.4,
Cameron Archer,eng Premier League,23.0,1441,2,0,FW,13,2,11,8,15,226,5,5.7,0.5,
Carlens Arcus,fr Ligue 1,28.0,2047,0,1,DF,52,27,83,20,8,566,17,0.0,1.4,
Alphonse Areola,eng Premier League,31.0,2260,0,0,GK,2,0,15,3,0,601,0,0.0,0.0,
Adu Ares,es La Liga,22.0,19,0,0,FW,0,0,0,1,0,8,0,0.0,0.0,
Jesús Areso,es La Liga,25.0,3079,0,3,DF,53,8,92,63,24,904,30,0.2,3.5,
David Argüelles,es La Liga,22.0,7,0,0,MF,0,0,0,0,0,3,0,0.0,0.0,
Joe Aribo,eng Premier League,28.0,2013,3,0,"MF,DF",47,20,32,15,21,745,16,2.7,1.6,
Adam Armstrong,eng Premier League,27.0,1248,2,2,"FW,MF",12,3,8,12,6,235,9,3.3,1.2,
Harrison Armstrong,eng Premier League,17.0,48,0,0,MF,0,0,1,0,1,15,1,0.4,0.1,
José Arnaiz,es La Liga,29.0,133,0,0,"FW,MF",7,5,1,6,1,55,3,0.3,0.1,
Hákon Arnar Haraldsson,fr Ligue 1,21.0,1755,5,3,"MF,FW",36,8,6,22,27,715,35,3.8,2.8,
Marko Arnautović,it Serie A,35.0,527,4,2,FW,7,1,1,3,2,99,7,3.3,1.2,
Maximilian Arnold,de Bundesliga,30.0,2356,3,5,MF,34,24,70,18,1,787,45,0.9,3.5,
Jann-Fiete Arp,de Bundesliga,24.0,713,2,0,"FW,MF",13,3,8,8,14,158,11,3.8,1.0,
Sergio Arribas,es La Liga,21.0,90,0,0,DF,7,3,4,2,0,33,0,0.0,0.0,
